frame.time_epoch,tcp.seq
"1686855130.039908544","1"
"1686855130.041748461","2697"
"1686855130.041750916","4045"
"1686855130.042694489","4294917421"
"1686855130.047427803","5393"
"1686855130.047431961","6741"
"1686855130.048692108","8089"
"1686855130.048700715","9437"
"1686855130.048704131","10785"
"1686855130.048706245","13481"
"1686855130.048708940","14829"
"1686855130.048711134","4294926857"
"1686855130.048714190","16177"
"1686855130.048716354","17525"
"1686855130.049040042","18873"
"1686855130.049042848","20221"
"1686855130.049792166","4294932249"
"1686855130.050341858","21569"
"1686855130.050345355","22917"
"1686855130.051398364","24265"
"1686855130.051403032","25613"
"1686855130.052448577","26961"
"1686855130.052452575","28309"
"1686855130.053477591","29657"
"1686855130.053480957","31005"
"1686855130.054741997","32353"
"1686855130.054745914","33701"
"1686855130.055768596","36397"
"1686855130.056586823","37745"
"1686855130.056591031","39093"
"1686855130.057572956","40441"
"1686855130.058673254","43137"
"1686855130.058675658","44485"
"1686855130.059584476","4294944381"
"1686855130.060122527","45833"
"1686855130.060126234","47181"
"1686855130.061149767","48529"
"1686855130.061308435","49877"
"1686855130.062173972","51225"
"1686855130.062176256","52573"
"1686855130.063197615","53921"
"1686855130.063200200","55269"
"1686855130.064374477","57965"
"1686855130.065228111","59313"
"1686855130.065232379","60661"
"1686855130.066276601","4294960557"
"1686855130.066771992","62009"
"1686855130.066776069","63357"
"1686855130.068690126","64705"
"1686855130.068825240","66053"
"1686855130.069302036","4294964601"
"1686855130.069696617","4294860805"
"1686855130.071633958","67401"
"1686855130.073141690","70097"
"1686855130.075070985","72793"
"1686855130.075074692","74141"
"1686855130.076628402","12133"
"1686855130.077579279","75489"
"1686855130.077582114","76837"
"1686855130.080864782","80881"
"1686855130.081020775","82229"
"1686855130.082219828","83577"
"1686855130.082222413","84925"
"1686855130.083469106","86273"
"1686855130.083471571","87621"
"1686855130.084717832","88969"
"1686855130.084720227","90317"
"1686855130.086018106","35049"
"1686855130.086654231","41789"
"1686855130.087519817","91665"
"1686855130.089089337","94361"
"1686855130.089094667","95709"
"1686855130.089937801","97057"
"1686855130.089940747","98405"
"1686855130.091251600","99753"
"1686855130.091255497","101101"
"1686855130.092706624","102449"
"1686855130.092709379","103797"
"1686855130.093843560","56617"
"1686855130.094484795","106493"
"1686855130.095583560","107841"
"1686855130.095588148","109189"
"1686855130.096807149","110537"
"1686855130.096809213","111885"
"1686855130.097984682","113233"
"1686855130.099131577","1349"
"1686855130.099740090","115929"
"1686855130.101879921","118625"
"1686855130.101883698","119973"
"1686855130.102658304","121321"
"1686855130.102821150","122669"
"1686855130.103792575","71445"
"1686855130.104429001","124017"
"1686855130.104432638","125365"
"1686855130.105523407","126713"
"1686855130.106768898","129409"
"1686855130.106771473","130757"
"1686855130.107994460","132105"
"1686855130.107997757","133453"
"1686855130.109103354","79533"
"1686855130.111419866","137497"
"1686855130.111423744","138845"
"1686855130.112615964","140193"
"1686855130.112619941","141541"
"1686855130.113786533","144237"
"1686855130.114976670","145585"
"1686855130.114980617","146933"
"1686855130.116197774","149629"
"1686855130.117266362","150977"
"1686855130.117269388","152325"
"1686855130.119064251","153673"
"1686855130.119067837","155021"
"1686855130.120138890","156369"
"1686855130.120256441","157717"
"1686855130.121371686","159065"
"1686855130.122553297","163109"
"1686855130.123699420","164457"
"1686855130.123702927","165805"
"1686855130.124899305","168501"
"1686855130.126233192","169849"
"1686855130.126236708","171197"
"1686855130.127214385","105145"
"1686855130.127788143","114581"
"1686855130.128424339","172545"
"1686855130.128428547","173893"
"1686855130.129577967","175241"
"1686855130.129582014","176589"
"1686855130.130940837","68749"
"1686855130.131534102","117277"
"1686855130.131932711","177937"
"1686855130.131935416","179285"
"1686855130.134270715","183329"
"1686855130.134275033","184677"
"1686855130.135423751","186025"
"1686855130.135427338","187373"
"1686855130.136615941","188721"
"1686855130.136620109","190069"
"1686855130.137758709","78185"
"1686855130.138406175","128061"
"1686855130.138940169","191417"
"1686855130.138942724","192765"
"1686855130.140133651","134801"
"1686855130.141297629","194113"
"1686855130.141302688","195461"
"1686855130.142462037","196809"
"1686855130.142466785","198157"
"1686855130.143627246","199505"
"1686855130.143629651","200853"
"1686855130.144805921","202201"
"1686855130.144809748","203549"
"1686855130.149906825","204897"
"1686855130.149909851","206245"
"1686855130.150541848","142889"
"1686855130.150545996","148281"
"1686855130.150547659","207593"
"1686855130.150549433","208941"
"1686855130.150551997","93013"
"1686855130.150660932","211637"
"1686855130.151147436","160413"
"1686855130.151734449","161761"
"1686855130.152366617","212985"
"1686855130.153559599","167153"
"1686855130.154452126","215681"
"1686855130.154456454","217029"
"1686855130.155288207","218377"
"1686855130.155291944","219725"
"1686855130.156524470","221073"
"1686855130.156527766","222421"
"1686855130.158191192","223769"
"1686855130.158352615","225117"
"1686855130.158835863","226465"
"1686855130.158839370","227813"
"1686855130.160012805","229161"
"1686855130.160016331","230509"
"1686855130.163195145","234553"
"1686855130.163347942","235901"
"1686855130.163710453","237249"
"1686855130.163715092","238597"
"1686855130.164696255","239945"
"1686855130.165845545","180633"
"1686855130.165849472","181981"
"1686855130.167060097","242641"
"1686855130.168163831","245337"
"1686855130.168167548","246685"
"1686855130.170641246","248033"
"1686855130.170643771","249381"
"1686855130.170951599","136149"
"1686855130.171687833","252077"
"1686855130.172304151","253425"
"1686855130.172306455","254773"
"1686855130.173495169","257469"
"1686855130.174601207","258817"
"1686855130.175788188","261513"
"1686855130.177686966","210289"
"1686855130.191461819","231857"
"1686855130.194263984","241293"
"1686855130.195980409","243989"
"1686855130.198882443","250729"
"1686855130.201149052","256121"
"1686855130.203676431","260165"
"1686855130.218532376","214333"
"1686855130.221066037","233205"
"1686855130.246454132","262861"
"1686855131.514207844","1"
"1686855131.517720544","1"
"1686855131.517724912","1349"
"1686855131.518167604","2697"
"1686855131.518170169","4045"
"1686855131.544771785","5393"
"1686855131.544777005","6741"
"1686855131.544779139","8089"
"1686855131.545063734","9437"
"1686855131.571303911","10785"
"1686855131.571778633","12133"
"1686855131.571904219","13481"
"1686855131.606601929","263401"
"1686855131.606639810","263401"
"1686855131.607099023","263641"
"1686855131.607110925","264989"
"1686855131.607958818","266337"
"1686855131.607963006","267685"
"1686855131.609116073","269033"
"1686855131.609120061","270381"
"1686855131.610271695","271729"
"1686855131.610274170","273077"
"1686855131.611453225","274425"
"1686855131.611455670","275773"
"1686855131.612623384","277121"
"1686855131.612626710","278469"
"1686855131.613807229","279817"
"1686855131.613811567","281165"
"1686855131.615014457","282513"
"1686855131.615018144","283861"
"1686855131.616134351","285209"
"1686855131.616138509","286557"
"1686855131.617296485","287905"
"1686855131.617299741","289253"
"1686855131.618457517","290601"
"1686855131.618461394","291949"
"1686855131.619636703","293297"
"1686855131.619639748","294645"
"1686855131.620814045","295993"
"1686855131.620817091","297341"
"1686855131.622046661","298689"
"1686855131.622050829","300037"
"1686855131.623211961","301385"
"1686855131.623215567","302733"
"1686855131.624337736","304081"
"1686855131.625509508","306777"
"1686855131.626685077","309473"
"1686855131.626691519","310821"
"1686855131.627873069","312169"
"1686855131.627879000","313517"
"1686855131.629025465","314865"
"1686855131.629028150","316213"
"1686855131.630207345","317561"
"1686855131.630211032","318909"
"1686855131.631401990","320257"
"1686855131.631404435","321605"
"1686855131.632543946","322953"
"1686855131.632548274","324301"
"1686855131.633703355","325649"
"1686855131.633706821","326997"
"1686855131.634703274","328345"
"1686855131.634705678","329693"
"1686855131.635570663","331041"
"1686855131.635575593","332389"
"1686855131.636520588","333737"
"1686855131.636524225","335085"
"1686855131.637401243","336433"
"1686855131.637404129","337781"
"1686855131.639462877","339129"
"1686855131.639612679","340477"
"1686855131.640093923","341825"
"1686855131.640096388","343173"
"1686855131.640462806","344521"
"1686855131.640465932","345869"
"1686855131.641233825","347217"
"1686855131.641240137","348565"
"1686855131.643016875","349913"
"1686855131.643594391","353957"
"1686855131.644002357","356653"
"1686855131.644940931","358001"
"1686855131.644944708","359349"
"1686855131.645818350","362045"
"1686855131.646772292","363393"
"1686855131.646776189","364741"
"1686855131.647751943","366089"
"1686855131.647756602","367437"
"1686855131.648696889","368785"
"1686855131.649666901","371481"
"1686855131.649670017","372829"
"1686855131.650592741","374177"
"1686855131.650596899","375525"
"1686855131.651470701","376873"
"1686855131.651473155","378221"
"1686855131.652426587","379569"
"1686855131.653356234","382265"
"1686855131.653358348","383613"
"1686855131.654314925","384961"
"1686855131.654320325","386309"
"1686855131.655279718","305429"
"1686855131.656756473","308125"
"1686855131.657067998","387657"
"1686855131.657592023","389005"
"1686855131.657594578","390353"
"1686855131.659301255","391701"
"1686855131.659304020","393049"
"1686855131.660746270","394397"
"1686855131.661491701","395745"
"1686855131.661495808","397093"
"1686855131.663034810","398441"
"1686855131.663199279","399789"
"1686855131.664694419","401137"
"1686855131.664698306","402485"
"1686855131.665769590","405181"
"1686855131.667001244","406529"
"1686855131.667154582","407877"
"1686855131.668625697","409225"
"1686855131.668628482","410573"
"1686855131.670415851","411921"
"1686855131.670419708","413269"
"1686855131.670767521","414617"
"1686855131.670770547","415965"
"1686855131.671626696","417313"
"1686855131.671629000","418661"
"1686855131.672807595","351261"
"1686855131.673372807","352609"
"1686855131.673928000","355305"
"1686855131.674521215","360697"
"1686855131.675142562","420009"
"1686855131.676462763","422705"
"1686855131.676467322","424053"
"1686855131.677660574","425401"
"1686855131.677664171","426749"
"1686855131.678605429","370133"
"1686855131.679231025","428097"
"1686855131.679233319","429445"
"1686855131.680506982","430793"
"1686855131.680511170","432141"
"1686855131.681570491","433489"
"1686855131.682720822","436185"
"1686855131.682724058","437533"
"1686855131.683798017","380917"
"1686855131.684397673","438881"
"1686855131.684401671","440229"
"1686855131.685523739","441577"
"1686855131.685528047","442925"
"1686855131.686657139","444273"
"1686855131.686661056","445621"
"1686855131.687807200","446969"
"1686855131.687820094","448317"
"1686855131.689141377","449665"
"1686855131.689145024","451013"
"1686855131.690307258","452361"
"1686855131.690311045","453709"
"1686855131.691188213","455057"
"1686855131.691191299","456405"
"1686855131.692253715","457753"
"1686855131.692256541","459101"
"1686855131.693437339","460449"
"1686855131.693441517","461797"
"1686855131.694514003","463145"
"1686855131.694517359","464493"
"1686855131.695674473","465841"
"1686855131.695677359","467189"
"1686855131.696857216","468537"
"1686855131.697170715","469885"
"1686855131.697925343","471233"
"1686855131.697928709","472581"
"1686855131.699047311","475277"
"1686855131.700131909","403833"
"1686855131.700736184","477973"
"1686855131.701850158","479321"
"1686855131.701853664","480669"
"1686855131.702998375","482017"
"1686855131.703002493","483365"
"1686855131.704105335","484713"
"1686855131.704109062","486061"
"1686855131.705197177","421357"
"1686855131.705883867","487409"
"1686855131.706878977","490105"
"1686855131.706882995","491453"
"1686855131.708043966","492801"
"1686855131.708047463","494149"
"1686855131.709167588","495497"
"1686855131.710301709","498193"
"1686855131.710305506","499541"
"1686855131.711352523","434837"
"1686855131.711943634","502237"
"1686855131.713081011","503585"
"1686855131.713085980","504933"
"1686855131.714197609","506281"
"1686855131.715354503","510325"
"1686855131.716479207","511673"
"1686855131.717599391","514369"
"1686855131.717604251","515717"
"1686855131.718735907","517065"
"1686855131.718740265","518413"
"1686855131.719775260","519761"
"1686855131.719779729","521109"
"1686855131.720934098","523805"
"1686855131.722896095","525153"
"1686855131.722900183","526501"
"1686855131.724844065","527849"
"1686855131.724849175","529197"
"1686855131.724852091","530545"
"1686855131.724853974","531893"
"1686855131.725498686","533241"
"1686855131.725503054","534589"
"1686855131.726553367","535937"
"1686855131.726555742","537285"
"1686855131.728469558","473929"
"1686855131.728655567","538633"
"1686855131.728657722","539981"
"1686855131.729317672","476625"
"1686855131.729976840","541329"
"1686855131.729980277","542677"
"1686855131.731021603","545373"
"1686855131.732495854","546721"
"1686855131.732500633","548069"
"1686855131.733381348","549417"
"1686855131.733385836","550765"
"1686855131.734477447","552113"
"1686855131.735630334","488757"
"1686855131.736071623","556157"
"1686855131.737196396","557505"
"1686855131.737199332","558853"
"1686855131.738361345","560201"
"1686855131.739841627","496845"
"1686855131.739973184","500889"
"1686855131.740574454","562897"
"1686855131.740577309","564245"
"1686855131.741683828","565593"
"1686855131.741687826","566941"
"1686855131.742823500","568289"
"1686855131.743900434","570985"
"1686855131.743905172","572333"
"1686855131.745091031","507629"
"1686855131.746281468","508977"
"1686855131.747445826","573681"
"1686855131.747975210","576377"
"1686855131.747977434","577725"
"1686855131.748971623","579073"
"1686855131.750116103","581769"
"1686855131.751794527","522457"
"1686855131.751797593","584465"
"1686855131.751799907","585813"
"1686855131.753511543","587161"
"1686855131.753515681","588509"
"1686855131.754188485","589857"
"1686855131.754542621","591205"
"1686855131.755951608","592553"
"1686855131.756785776","595249"
"1686855131.756790405","596597"
"1686855131.757403988","597945"
"1686855131.757406372","599293"
"1686855131.758607419","601989"
"1686855131.759676087","603337"
"1686855131.760852938","606033"
"1686855131.760856625","607381"
"1686855131.762093289","608729"
"1686855131.762095904","610077"
"1686855131.763629656","553461"
"1686855131.764096082","554809"
"1686855131.764951039","611425"
"1686855131.764953403","612773"
"1686855131.765855979","614121"
"1686855131.765859266","615469"
"1686855131.766921692","561549"
"1686855131.767717137","616817"
"1686855131.767721705","618165"
"1686855131.768704993","619513"
"1686855131.768707147","620861"
"1686855131.769743865","622209"
"1686855131.769748013","623557"
"1686855131.770872566","624905"
"1686855131.771962374","569637"
"1686855131.772591055","627601"
"1686855131.772594271","628949"
"1686855131.773640287","630297"
"1686855131.773644505","631645"
"1686855131.774795718","632993"
"1686855131.774800176","634341"
"1686855131.775881879","513021"
"1686855131.776440008","575029"
"1686855131.777064101","635689"
"1686855131.777067327","637037"
"1686855131.778251191","638385"
"1686855131.778254978","639733"
"1686855131.779248976","580421"
"1686855131.779807716","583117"
"1686855131.780855405","641081"
"1686855131.780860575","642429"
"1686855131.781514954","643777"
"1686855131.781518471","645125"
"1686855131.783938118","646473"
"1686855131.784081848","647821"
"1686855131.784449739","649169"
"1686855131.784453496","650517"
"1686855131.785166676","651865"
"1686855131.785172918","653213"
"1686855131.785930141","593901"
"1686855131.786520821","654561"
"1686855131.786526582","655909"
"1686855131.788244440","657257"
"1686855131.788248507","658605"
"1686855131.789692340","604685"
"1686855131.790081401","659953"
"1686855131.790087703","661301"
"1686855131.791078605","662649"
"1686855131.792430936","663997"
"1686855131.794123717","665345"
"1686855131.794129037","668041"
"1686855131.795665945","672085"
"1686855131.796095602","673433"
"1686855131.796098989","674781"
"1686855131.798364897","676129"
"1686855131.798368884","677477"
"1686855131.798767343","680173"
"1686855131.799495381","681521"
"1686855131.799837524","682869"
"1686855131.800705805","684217"
"1686855131.800712608","685565"
"1686855131.802138297","686913"
"1686855131.802437930","688261"
"1686855131.802848612","689609"
"1686855131.802851728","690957"
"1686855131.806110701","626253"
"1686855131.806118686","692305"
"1686855131.806121111","693653"
"1686855131.806123666","695001"
"1686855131.806126641","696349"
"1686855131.807172597","697697"
"1686855131.807180472","699045"
"1686855131.808041880","700393"
"1686855131.808049705","701741"
"1686855131.810474992","703089"
"1686855131.810988297","705785"
"1686855131.810992264","707133"
"1686855131.811348193","708481"
"1686855131.811353242","709829"
"1686855131.812356287","711177"
"1686855131.812362058","712525"
"1686855131.815086257","713873"
"1686855131.815762558","716569"
"1686855131.815769190","717917"
"1686855131.816577900","719265"
"1686855131.816582358","720613"
"1686855131.816977601","721961"
"1686855131.816981528","723309"
"1686855131.817997347","724657"
"1686855131.818001505","726005"
"1686855131.819221327","728701"
"1686855131.820877920","730049"
"1686855131.820882458","731397"
"1686855131.821327986","600641"
"1686855131.822237555","732745"
"1686855131.822627467","734093"
"1686855131.824175306","735441"
"1686855131.824181047","736789"
"1686855131.825409645","738137"
"1686855131.825414094","739485"
"1686855131.825784349","740833"
"1686855131.825947887","742181"
"1686855131.826489324","743529"
"1686855131.826492971","744877"
"1686855131.828074773","746225"
"1686855131.828080133","747573"
"1686855131.828662748","544025"
"1686855131.829292802","666693"
"1686855131.830390515","669389"
"1686855131.830394302","670737"
"1686855131.830472148","748921"
"1686855131.830476075","750269"
"1686855131.831416953","751617"
"1686855131.832429847","754313"
"1686855131.832435698","755661"
"1686855131.833478267","758357"
"1686855131.834068456","759705"
"1686855131.834070751","761053"
"1686855131.834977735","762401"
"1686855131.834982063","763749"
"1686855131.835833583","765097"
"1686855131.835837871","766445"
"1686855131.836748302","767793"
"1686855131.836752089","769141"
"1686855131.837655266","770489"
"1686855131.837657390","771837"
"1686855131.838539157","773185"
"1686855131.838543365","774533"
"1686855131.839458224","775881"
"1686855131.839467562","777229"
"1686855131.840329772","779925"
"1686855131.841144242","678825"
"1686855131.841722249","704437"
"1686855131.842228630","781273"
"1686855131.842234090","782621"
"1686855131.843050615","783969"
"1686855131.843056676","785317"
"1686855131.843946738","788013"
"1686855131.845077483","715221"
"1686855131.845242844","789361"
"1686855131.845247974","790709"
"1686855131.847126503","794753"
"1686855131.847285983","796101"
"1686855131.847901329","727353"
"1686855131.849495174","800145"
"1686855131.849499673","801493"
"1686855131.850190621","804189"
