frame.time_epoch,tcp.seq,ip.src
"1687805969.429474207","1","195.23.102.214"
"1687805969.430860906","348","195.23.102.214"
"1687805969.430863281","1696","195.23.102.214"
"1687805969.430865655","3044","195.23.102.214"
"1687805969.430867541","4392","195.23.102.214"
"1687805969.430869427","5740","195.23.102.214"
"1687805969.430871313","7088","195.23.102.214"
"1687805969.430873268","8436","195.23.102.214"
"1687805969.430875154","9784","195.23.102.214"
"1687805969.430877529","11132","195.23.102.214"
"1687805969.430879414","12480","195.23.102.214"
"1687805969.430881300","13828","195.23.102.214"
"1687805969.430883256","15176","195.23.102.214"
"1687805969.430885141","16524","195.23.102.214"
"1687805969.430887586","17872","195.23.102.214"
"1687805969.430889541","19220","195.23.102.214"
"1687805969.430891497","20568","195.23.102.214"
"1687805969.430893382","21916","195.23.102.214"
"1687805969.430895268","23264","195.23.102.214"
"1687805969.430897154","24612","195.23.102.214"
"1687805969.432777282","25960","195.23.102.214"
"1687805969.432779726","27308","195.23.102.214"
"1687805969.432782101","28656","195.23.102.214"
"1687805969.432783986","30004","195.23.102.214"
"1687805969.432785872","31352","195.23.102.214"
"1687805969.432787758","32700","195.23.102.214"
"1687805969.432789574","34048","195.23.102.214"
"1687805969.432791948","35396","195.23.102.214"
"1687805969.432793834","36744","195.23.102.214"
"1687805969.432795790","38092","195.23.102.214"
"1687805969.432797745","39440","195.23.102.214"
"1687805969.432800120","40788","195.23.102.214"
"1687805969.432802006","42136","195.23.102.214"
"1687805969.432803891","43484","195.23.102.214"
"1687805969.432805847","44832","195.23.102.214"
"1687805969.432807802","46180","195.23.102.214"
"1687805969.432809758","47528","195.23.102.214"
"1687805969.432811713","48876","195.23.102.214"
"1687805969.432813599","50224","195.23.102.214"
"1687805969.432815485","51572","195.23.102.214"
"1687805969.432817371","52920","195.23.102.214"
"1687805969.432821072","54268","195.23.102.214"
"1687805969.432822958","55616","195.23.102.214"
"1687805969.432825333","56964","195.23.102.214"
"1687805969.432827218","58312","195.23.102.214"
"1687805969.432829104","59660","195.23.102.214"
"1687805969.432830990","61008","195.23.102.214"
"1687805969.432833364","62356","195.23.102.214"
"1687805969.432835250","63704","195.23.102.214"
"1687805969.432837136","65052","195.23.102.214"
"1687805969.432839091","66400","195.23.102.214"
"1687805969.432840977","67748","195.23.102.214"
"1687805969.432843421","69096","195.23.102.214"
"1687805969.432845307","70444","195.23.102.214"
"1687805969.432847193","71792","195.23.102.214"
"1687805969.432849079","73140","195.23.102.214"
"1687805969.432851453","74488","195.23.102.214"
"1687805969.432853339","75836","195.23.102.214"
"1687805969.432855155","77184","195.23.102.214"
"1687805969.432857460","78532","195.23.102.214"
"1687805969.433167625","79880","195.23.102.214"
"1687805969.433170907","81228","195.23.102.214"
"1687805969.433453136","82576","195.23.102.214"
"1687805969.433456488","83924","195.23.102.214"
"1687805969.433458793","85272","195.23.102.214"
"1687805969.433461168","86620","195.23.102.214"
"1687805969.433463612","87968","195.23.102.214"
"1687805969.433466406","89316","195.23.102.214"
"1687805969.438010071","90664","195.23.102.214"
"1687805969.438012376","92012","195.23.102.214"
"1687805969.438014262","93360","195.23.102.214"
"1687805969.438016217","94708","195.23.102.214"
"1687805969.438018103","96056","195.23.102.214"
"1687805969.438019500","97404","195.23.102.214"
"1687805969.438021455","98752","195.23.102.214"
"1687805969.438023411","100100","195.23.102.214"
"1687805969.438024878","101448","195.23.102.214"
"1687805969.438026763","102796","195.23.102.214"
"1687805969.438028719","104144","195.23.102.214"
"1687805969.438030605","105492","195.23.102.214"
"1687805969.438032490","106840","195.23.102.214"
"1687805969.438034376","108188","195.23.102.214"
"1687805969.438035773","109536","195.23.102.214"
"1687805969.438037659","110884","195.23.102.214"
"1687805969.438039544","112232","195.23.102.214"
"1687805969.438041430","113580","195.23.102.214"
"1687805969.438043386","114928","195.23.102.214"
"1687805969.438044782","116276","195.23.102.214"
"1687805969.438046738","117624","195.23.102.214"
"1687805969.438048624","118972","195.23.102.214"
"1687805969.438050509","120320","195.23.102.214"
"1687805969.438051976","121668","195.23.102.214"
"1687805969.438053862","123016","195.23.102.214"
"1687805969.438055817","124364","195.23.102.214"
"1687805969.438057284","125712","195.23.102.214"
"1687805969.438059240","127060","195.23.102.214"
"1687805969.438061125","128408","195.23.102.214"
"1687805969.438063011","129756","195.23.102.214"
"1687805969.438064967","131104","195.23.102.214"
"1687805969.438066782","132452","195.23.102.214"
"1687805969.438068179","133800","195.23.102.214"
"1687805969.438070065","135148","195.23.102.214"
"1687805969.438071951","136496","195.23.102.214"
"1687805969.438073836","137844","195.23.102.214"
"1687805969.438075303","139192","195.23.102.214"
"1687805969.438077259","140540","195.23.102.214"
"1687805969.438079144","141888","195.23.102.214"
"1687805969.438081030","143236","195.23.102.214"
"1687805969.438082986","144584","195.23.102.214"
"1687805969.438084382","145932","195.23.102.214"
"1687805969.438086338","147280","195.23.102.214"
"1687805969.438087805","148628","195.23.102.214"
"1687805969.438088782","149976","195.23.102.214"
"1687805969.438090738","151324","195.23.102.214"
"1687805969.438092624","152672","195.23.102.214"
"1687805969.438094509","154020","195.23.102.214"
"1687805969.444012163","155368","195.23.102.214"
"1687805969.444014118","156716","195.23.102.214"
"1687805969.444016004","158064","195.23.102.214"
"1687805969.444017890","159412","195.23.102.214"
"1687805969.444019775","160760","195.23.102.214"
"1687805969.444021661","162108","195.23.102.214"
"1687805969.444023128","163456","195.23.102.214"
"1687805969.444025014","164804","195.23.102.214"
"1687805969.444026899","166152","195.23.102.214"
"1687805969.444028785","167500","195.23.102.214"
"1687805969.444030671","168848","195.23.102.214"
"1687805969.444032068","170196","195.23.102.214"
"1687805969.444033953","171544","195.23.102.214"
"1687805969.444035909","172892","195.23.102.214"
"1687805969.444037795","174240","195.23.102.214"
"1687805969.444039750","175588","195.23.102.214"
"1687805969.444041217","176936","195.23.102.214"
"1687805969.444043172","178284","195.23.102.214"
"1687805969.444045058","179632","195.23.102.214"
"1687805969.444046525","180980","195.23.102.214"
"1687805969.444048410","182328","195.23.102.214"
"1687805969.444050296","183676","195.23.102.214"
"1687805969.444052182","185024","195.23.102.214"
"1687805969.444054068","186372","195.23.102.214"
"1687805969.444055953","187720","195.23.102.214"
"1687805969.444057420","189068","195.23.102.214"
"1687805969.444059306","190416","195.23.102.214"
"1687805969.444061191","191764","195.23.102.214"
"1687805969.444063077","193112","195.23.102.214"
"1687805969.444064963","194460","195.23.102.214"
"1687805969.444066429","195808","195.23.102.214"
"1687805969.444068315","197156","195.23.102.214"
"1687805969.444070271","198504","195.23.102.214"
"1687805969.444071737","199852","195.23.102.214"
"1687805969.444073693","201200","195.23.102.214"
"1687805969.444075579","202548","195.23.102.214"
"1687805969.444077534","203896","195.23.102.214"
"1687805969.444079420","205244","195.23.102.214"
"1687805969.444080817","206592","195.23.102.214"
"1687805969.444082702","207940","195.23.102.214"
"1687805969.444084588","209288","195.23.102.214"
"1687805969.444086474","210636","195.23.102.214"
"1687805969.444088360","211984","195.23.102.214"
"1687805969.444089826","213332","195.23.102.214"
"1687805969.444091782","214680","195.23.102.214"
