frame.time_epoch,tcp.seq,ip.src
"1687812895.605023649","1",188.65.126.234
"1687812895.605031054","1349",188.65.126.234
"1687812895.605034407","2697",188.65.126.234
"1687812895.605047958","4119",188.65.126.234
"1687812895.605051311","5467",188.65.126.234
"1687812895.605854811","8163",188.65.126.234
"1687812895.605859002","9511",188.65.126.234
"1687812895.605865080","10859",188.65.126.234
"1687812895.605874090","16251",188.65.126.234
"1687812895.605879818","17599",188.65.126.234
"1687812895.605883660","20295",188.65.126.234
"1687812895.605891344","24339",188.65.126.234
"1687812895.605929413","25687",188.65.126.234
"1687812895.605933185","27035",188.65.126.234
"1687812895.605936537","28383",188.65.126.234
"1687812895.605939890","29731",188.65.126.234
"1687812895.605942335","31079",188.65.126.234
"1687812895.605944710","32427",188.65.126.234
"1687812895.606597821","33775",188.65.126.234
"1687812895.606901884","36471",188.65.126.234
"1687812895.606909079","37819",188.65.126.234
"1687812895.606913759","39167",188.65.126.234
"1687812895.606927380","40515",188.65.126.234
"1687812895.606933108","41863",188.65.126.234
"1687812895.606936949","43211",188.65.126.234
"1687812895.606939813","44559",188.65.126.234
"1687812895.606942677","45907",188.65.126.234
"1687812895.606945611","48603",188.65.126.234
"1687812895.606948475","49951",188.65.126.234
"1687812895.606951269","52647",188.65.126.234
"1687812895.606964541","53995",188.65.126.234
"1687812895.606968941","55343",188.65.126.234
"1687812895.606972294","56691",188.65.126.234
"1687812895.606976625","58039",188.65.126.234
"1687812895.606979000","59387",188.65.126.234
"1687812895.606981794","60735",188.65.126.234
"1687812895.606984169","62083",188.65.126.234
"1687812895.608611427","64779",188.65.126.234
"1687812895.608617155","66127",188.65.126.234
"1687812895.608620927","67475",188.65.126.234
"1687812895.608634897","68823",188.65.126.234
"1687812895.608639158","70171",188.65.126.234
"1687812895.608642441","71519",188.65.126.234
"1687812895.608646702","72867",188.65.126.234
"1687812895.608649636","74215",188.65.126.234
"1687812895.608653408","75563",188.65.126.234
"1687812895.608657180","76911",188.65.126.234
"1687812895.608660044","78259",188.65.126.234
"1687812895.608662489","79607",188.65.126.234
"1687812895.608676738","80955",188.65.126.234
"1687812895.608681069","82303",188.65.126.234
"1687812895.608684422","83651",188.65.126.234
"1687812895.608688194","84999",188.65.126.234
"1687812895.608691058","86347",188.65.126.234
"1687812895.608693992","87695",188.65.126.234
"1687812895.608696437","90391",188.65.126.234
"1687812895.608699789","91739",188.65.126.234
"1687812895.608704958","93087",188.65.126.234
"1687812895.608720605","94435",188.65.126.234
"1687812895.608725984","99827",188.65.126.234
"1687812895.608730314","101175",188.65.126.234
"1687812895.608735553","103871",188.65.126.234
"1687812895.608741141","106567",188.65.126.234
"1687812895.608745821","107915",188.65.126.234
"1687812895.608752108","109263",188.65.126.234
"1687812895.608756928","110611",188.65.126.234
"1687812895.608774530","111959",188.65.126.234
"1687812895.608790596","113307",188.65.126.234
"1687812895.608795905","114655",188.65.126.234
"1687812895.608800236","116003",188.65.126.234
"1687812895.608807430","118699",188.65.126.234
"1687812895.608813507","120047",188.65.126.234
"1687812895.608817768","121395",188.65.126.234
"1687812895.608823077","122743",188.65.126.234
"1687812895.611165404","124091",188.65.126.234
"1687812895.611187268","126787",188.65.126.234
"1687812895.611194463","128135",188.65.126.234
"1687812895.611198374","129483",188.65.126.234
"1687812895.611206896","133527",188.65.126.234
"1687812895.611213043","134875",188.65.126.234
"1687812895.611217304","136223",188.65.126.234
"1687812895.611228410","141615",188.65.126.234
"1687812895.611230785","142963",188.65.126.234
"1687812895.611233160","144311",188.65.126.234
"1687812895.611236932","145659",188.65.126.234
"1687812895.611278354","147007",188.65.126.234
"1687812895.611281218","148355",188.65.126.234
"1687812895.611284082","149703",188.65.126.234
"1687812895.611287505","151051",188.65.126.234
"1687812895.611290927","153747",188.65.126.234
"1687812895.611293791","155095",188.65.126.234
"1687812895.611296166","156443",188.65.126.234
"1687812895.611298471","159139",188.65.126.234
"1687812895.611302243","163183",188.65.126.234
"1687812895.611318030","164531",188.65.126.234
"1687812895.611322361","165879",188.65.126.234
"1687812895.611325294","167227",188.65.126.234
"1687812895.611327599","168575",188.65.126.234
"1687812895.611329974","169923",188.65.126.234
"1687812895.611332768","171271",188.65.126.234
"1687812895.611336540","172619",188.65.126.234
"1687812895.611340382","173967",188.65.126.234
"1687812895.611343735","175315",188.65.126.234
"1687812895.611359102","176663",188.65.126.234
"1687812895.611362385","178011",188.65.126.234
"1687812895.611365179","179359",188.65.126.234
"1687812895.611368951","180707",188.65.126.234
"1687812895.611372304","182055",188.65.126.234
"1687812895.611375238","183403",188.65.126.234
"1687812895.611377613","186099",188.65.126.234
"1687812895.611379988","187447",188.65.126.234
"1687812895.611382433","190143",188.65.126.234
"1687812895.611392002","191491",188.65.126.234
"1687812895.611394866","192839",188.65.126.234
"1687812895.611398079","194187",188.65.126.234
"1687812895.611953328","195535",188.65.126.234
"1687812895.611960034","196883",188.65.126.234
"1687812895.611961990","200927",188.65.126.234
"1687812895.611974004","202275",188.65.126.234
"1687812895.611976309","206319",188.65.126.234
"1687812895.611979104","207667",188.65.126.234
"1687812895.611981478","209015",188.65.126.234
"1687812895.611983853","210363",188.65.126.234
"1687812895.611987625","211711",188.65.126.234
"1687812895.614610057","213059",188.65.126.234
"1687812895.614616763","214407",188.65.126.234
"1687812895.614619207","215755",188.65.126.234
"1687812895.614622560","217103",188.65.126.234
"1687812895.614636810","218451",188.65.126.234
"1687812895.614645332","219799",188.65.126.234
"1687812895.614650152","221147",188.65.126.234
"1687812895.614652596","222495",188.65.126.234
"1687812895.614654971","223843",188.65.126.234
"1687812895.614657835","225191",188.65.126.234
"1687812895.614661607","226539",188.65.126.234
"1687812895.614664052","229235",188.65.126.234
"1687812895.614666427","230583",188.65.126.234
"1687812895.614673482","234627",188.65.126.234
"1687812895.614678791","235975",188.65.126.234
"1687812895.614689827","237323",188.65.126.234
"1687812895.614695974","238671",188.65.126.234
"1687812895.614698349","240019",188.65.126.234
"1687812895.614702121","241367",188.65.126.234
"1687812895.614704496","242715",188.65.126.234
"1687812895.614709246","244063",188.65.126.234
"1687812895.614719863","245411",188.65.126.234
"1687812895.614723146","246759",188.65.126.234
"1687812895.614726429","249455",188.65.126.234
"1687812895.614729782","250803",188.65.126.234
"1687812895.614733135","252151",188.65.126.234
"1687812895.614735999","254847",188.65.126.234
"1687812895.614739352","256195",188.65.126.234
"1687812895.614741727","257543",188.65.126.234
"1687812895.614748013","260239",188.65.126.234
"1687812895.614758840","261587",188.65.126.234
"1687812895.614763101","262935",188.65.126.234
"1687812895.614765546","265631",188.65.126.234
"1687812895.614768410","266979",188.65.126.234
"1687812895.614770296","269675",188.65.126.234
"1687812895.614773230","271023",188.65.126.234
"1687812895.614775186","272371",188.65.126.234
"1687812895.614779516","273719",188.65.126.234
"1687812895.614783358","275067",188.65.126.234
"1687812895.614795093","277763",188.65.126.234
"1687812895.614797957","279111",188.65.126.234
"1687812895.614801799","280459",188.65.126.234
"1687812895.614804663","281807",188.65.126.234
"1687812895.614807597","284503",188.65.126.234
"1687812895.614810530","288547",188.65.126.234
"1687812895.614814302","289895",188.65.126.234
"1687812895.614818074","291243",188.65.126.234
"1687812895.614821846","292591",188.65.126.234
"1687812895.614829809","293939",188.65.126.234
"1687812895.614833162","295287",188.65.126.234
"1687812895.614836445","297983",188.65.126.234
"1687812895.615002831","299331",188.65.126.234
"1687812895.615010375","300679",188.65.126.234
"1687812895.615014147","302027",188.65.126.234
"1687812895.615022250","303375",188.65.126.234
"1687812895.615026581","304723",188.65.126.234
"1687812895.616476696","308767",188.65.126.234
"1687812895.616481027","310115",188.65.126.234
"1687812895.616485288","311463",188.65.126.234
"1687812895.616497093","315507",188.65.126.234
"1687812895.616502890","316855",188.65.126.234
"1687812895.616505754","318203",188.65.126.234
"1687812895.616508199","320899",188.65.126.234
"1687812895.616512041","323595",188.65.126.234
"1687812895.616524335","324943",188.65.126.234
"1687812895.616528107","326291",188.65.126.234
"1687812895.616531949","327639",188.65.126.234
"1687812895.616534882","328987",188.65.126.234
"1687812895.616544452","330335",188.65.126.234
"1687812895.616547246","331683",188.65.126.234
"1687812895.616550110","333031",188.65.126.234
"1687812895.616552555","334379",188.65.126.234
"1687812895.616555349","335727",188.65.126.234
"1687812895.617455803","338423",188.65.126.234
"1687812895.617462439","339771",188.65.126.234
"1687812895.617465792","341119",188.65.126.234
"1687812895.617478086","342467",188.65.126.234
"1687812895.617482766","343815",188.65.126.234
"1687812895.617485141","346511",188.65.126.234
"1687812895.617489402","349207",188.65.126.234
"1687812895.617491777","351903",188.65.126.234
"1687812895.617504699","353251",188.65.126.234
"1687812895.617508052","354599",188.65.126.234
"1687812895.617510008","355947",188.65.126.234
"1687812895.617513780","357295",188.65.126.234
"1687812895.617515666","358643",188.65.126.234
"1687812895.617521813","359991",188.65.126.234
"1687812895.617524677","361339",188.65.126.234
"1687812895.617528519","362687",188.65.126.234
"1687812895.617530963","364035",188.65.126.234
"1687812895.617543327","365383",188.65.126.234
"1687812895.617545702","368079",188.65.126.234
"1687812895.617548077","369427",188.65.126.234
"1687812895.617551849","370775",188.65.126.234
"1687812895.617554224","372123",188.65.126.234
"1687812895.617557088","373471",188.65.126.234
"1687812895.617561000","377515",188.65.126.234
"1687812895.617564841","378863",188.65.126.234
"1687812895.617568194","381559",188.65.126.234
"1687812895.617577694","382907",188.65.126.234
"1687812895.617579999","384255",188.65.126.234
"1687812895.617582374","385603",188.65.126.234
"1687812895.619980094","386951",188.65.126.234
"1687812895.622102808","388299",188.65.126.234
"1687812895.622117197","390995",188.65.126.234
"1687812895.622124322","392343",188.65.126.234
"1687812895.622128094","395039",188.65.126.234
"1687812895.622132425","396387",188.65.126.234
"1687812895.622145836","399083",188.65.126.234
"1687812895.622150097","400431",188.65.126.234
"1687812895.622153869","401779",188.65.126.234
"1687812895.622158130","403127",188.65.126.234
"1687812895.622161483","404475",188.65.126.234
"1687812895.622165814","405823",188.65.126.234
"1687812895.622169726","407171",188.65.126.234
"1687812895.622173567","408519",188.65.126.234
"1687812895.622177339","411215",188.65.126.234
"1687812895.622191030","412563",188.65.126.234
"1687812895.622195361","413911",188.65.126.234
"1687812895.622198714","415259",188.65.126.234
"1687812895.622203115","416607",188.65.126.234
"1687812895.622206956","417955",188.65.126.234
"1687812895.622211148","419303",188.65.126.234
"1687812895.622214920","420651",188.65.126.234
"1687812895.622219111","421999",188.65.126.234
"1687812895.622222883","423347",188.65.126.234
"1687812895.622236294","426043",188.65.126.234
"1687812895.622240555","427391",188.65.126.234
"1687812895.622244816","428739",188.65.126.234
"1687812895.622248518","430087",188.65.126.234
"1687812895.622252220","431435",188.65.126.234
"1687812895.622262698","432783",188.65.126.234
"1687812895.622267029","434131",188.65.126.234
"1687812895.622270870","435479",188.65.126.234
"1687812895.622275201","436827",188.65.126.234
"1687812895.622288892","438175",188.65.126.234
"1687812895.622292734","439523",188.65.126.234
"1687812895.622297065","440871",188.65.126.234
"1687812895.622300976","443567",188.65.126.234
"1687812895.622305237","444915",188.65.126.234
"1687812895.622307612","446263",188.65.126.234
"1687812895.622310476","447611",188.65.126.234
"1687812895.622313340","448959",188.65.126.234
"1687812895.622317112","450307",188.65.126.234
"1687812895.629856734","453003",188.65.126.234
"1687812895.629863300","454351",188.65.126.234
"1687812895.629875663","455699",188.65.126.234
"1687812895.629879505","457047",188.65.126.234
"1687812895.629882928","459743",188.65.126.234
"1687812895.629886770","461091",188.65.126.234
"1687812895.629889145","462439",188.65.126.234
"1687812895.629892009","463787",188.65.126.234
"1687812895.629895222","465135",188.65.126.234
"1687812895.629898016","466483",188.65.126.234
"1687812895.629902277","467831",188.65.126.234
"1687812895.629912265","471875",188.65.126.234
"1687812895.629918482","475919",188.65.126.234
"1687812895.629920368","477267",188.65.126.234
"1687812895.629934199","479963",188.65.126.234
"1687812895.629937482","481311",188.65.126.234
"1687812895.629941324","482659",188.65.126.234
"1687812895.629944676","484007",188.65.126.234
"1687812895.629947121","485355",188.65.126.234
"1687812895.629949985","486703",188.65.126.234
"1687812895.629952919","488051",188.65.126.234
"1687812895.629955713","489399",188.65.126.234
"1687812895.629958577","490747",188.65.126.234
"1687812895.629971360","492095",188.65.126.234
"1687812895.629974713","493443",188.65.126.234
"1687812895.629977646","494791",188.65.126.234
"1687812895.629981977","496139",188.65.126.234
"1687812895.629984841","498835",188.65.126.234
"1687812895.629987705","500183",188.65.126.234
"1687812895.629990499","502879",188.65.126.234
"1687812895.629993363","504227",188.65.126.234
"1687812895.629996227","505575",188.65.126.234
"1687812895.630005727","506923",188.65.126.234
"1687812895.630009079","509619",188.65.126.234
"1687812895.630014947","510967",188.65.126.234
"1687812895.630017322","512315",188.65.126.234
"1687812895.630020116","515011",188.65.126.234
"1687812895.637643210","516359",188.65.126.234
"1687812895.637651173","517707",188.65.126.234
"1687812895.637663746","520403",188.65.126.234
"1687812895.637670312","521751",188.65.126.234
"1687812895.637673176","523099",188.65.126.234
"1687812895.637675621","524447",188.65.126.234
"1687812895.637679812","525795",188.65.126.234
"1687812895.637682676","527143",188.65.126.234
"1687812895.637695668","528491",188.65.126.234
"1687812895.637699021","529839",188.65.126.234
"1687812895.637704609","531187",188.65.126.234
"1687812895.637708451","532535",188.65.126.234
"1687812895.637711315","535231",188.65.126.234
"1687812895.637713690","536579",188.65.126.234
"1687812895.637718021","537927",188.65.126.234
"1687812895.637730035","539275",188.65.126.234
"1687812895.637734715","540623",188.65.126.234
"1687812895.637737509","541971",188.65.126.234
"1687812895.637741770","543319",188.65.126.234
"1687812895.637744215","544667",188.65.126.234
"1687812895.637747079","546015",188.65.126.234
"1687812895.637750432","547363",188.65.126.234
"1687812895.637754763","548711",188.65.126.234
"1687812895.637757696","550059",188.65.126.234
"1687812895.637776137","552755",188.65.126.234
"1687812895.637780957","554103",188.65.126.234
"1687812895.637783821","555451",188.65.126.234
"1687812895.637786266","558147",188.65.126.234
"1687812895.637789199","559495",188.65.126.234
"1687812895.637792063","560843",188.65.126.234
"1687812895.637796324","562191",188.65.126.234
"1687812895.637799118","564887",188.65.126.234
"1687812895.637801912","567583",188.65.126.234
"1687812895.637814625","568931",188.65.126.234
"1687812895.637817978","570279",188.65.126.234
"1687812895.637821401","571627",188.65.126.234
"1687812895.637826151","572975",188.65.126.234
"1687812895.637829923","574323",188.65.126.234
"1687812895.637832717","575671",188.65.126.234
"1687812895.637836419","577019",188.65.126.234
"1687812895.637839283","578367",188.65.126.234
"1687812895.637842147","579715",188.65.126.234
"1687812895.640365669","581063",188.65.126.234
"1687812895.640379569","582411",188.65.126.234
"1687812895.640385786","585107",188.65.126.234
"1687812895.640388161","586455",188.65.126.234
"1687812895.640401921","587803",188.65.126.234
"1687812895.640407649","589151",188.65.126.234
"1687812895.640410094","590499",188.65.126.234
"1687812895.640413447","591847",188.65.126.234
"1687812895.640416800","593195",188.65.126.234
"1687812895.640420642","595891",188.65.126.234
"1687812895.640423855","597239",188.65.126.234
"1687812895.640433844","599935",188.65.126.234
"1687812895.640440549","601283",188.65.126.234
"1687812895.640443972","605327",188.65.126.234
"1687812895.640458641","606675",188.65.126.234
"1687812895.640465696","608023",188.65.126.234
"1687812895.640468071","609371",188.65.126.234
"1687812895.640471843","613415",188.65.126.234
"1687812895.640474776","614763",188.65.126.234
"1687812895.640477151","616111",188.65.126.234
"1687812895.640480015","617459",188.65.126.234
"1687812895.640482879","618807",188.65.126.234
"1687812895.640496710","620155",188.65.126.234
"1687812895.640500971","621503",188.65.126.234
"1687812895.640503765","622851",188.65.126.234
"1687812895.640506210","624199",188.65.126.234
"1687812895.640509143","625547",188.65.126.234
"1687812895.640511518","626895",188.65.126.234
"1687812895.640514452","628243",188.65.126.234
"1687812895.640517246","629591",188.65.126.234
"1687812895.640520110","630939",188.65.126.234
"1687812895.640533382","632287",188.65.126.234
"1687812895.640535757","633635",188.65.126.234
"1687812895.640537713","636331",188.65.126.234
"1687812895.640541554","637679",188.65.126.234
"1687812895.640544488","639027",188.65.126.234
"1687812895.640547352","640375",188.65.126.234
"1687812895.640550146","641723",188.65.126.234
"1687812895.640553010","643071",188.65.126.234
"1687812895.643053062","645767",188.65.126.234
"1687812895.643059348","647115",188.65.126.234
"1687812895.643070455","649811",188.65.126.234
"1687812895.643075694","651159",188.65.126.234
"1687812895.643078069","652507",188.65.126.234
"1687812895.643080374","653855",188.65.126.234
"1687812895.643089734","655203",188.65.126.234
"1687812895.643093087","656551",188.65.126.234
"1687812895.643101678","660595",188.65.126.234
"1687812895.643106428","663291",188.65.126.234
"1687812895.643108803","664639",188.65.126.234
"1687812895.643123332","665987",188.65.126.234
"1687812895.643126685","667335",188.65.126.234
"1687812895.643129549","668683",188.65.126.234
"1687812895.643131924","670031",188.65.126.234
"1687812895.643135347","671379",188.65.126.234
"1687812895.643137722","672727",188.65.126.234
"1687812895.643140167","674075",188.65.126.234
"1687812895.643142541","675423",188.65.126.234
"1687812895.643144916","676771",188.65.126.234
"1687812895.643157629","679467",188.65.126.234
"1687812895.643160074","680815",188.65.126.234
"1687812895.643162449","682163",188.65.126.234
"1687812895.643166291","683511",188.65.126.234
"1687812895.643168736","684859",188.65.126.234
"1687812895.643171111","687555",188.65.126.234
"1687812895.643173486","688903",188.65.126.234
"1687812895.643175861","690251",188.65.126.234
"1687812895.643178236","692947",188.65.126.234
"1687812895.643190110","694295",188.65.126.234
"1687812895.643192485","695643",188.65.126.234
"1687812895.643194930","696991",188.65.126.234
"1687812895.643197794","698339",188.65.126.234
"1687812895.643199750","699687",188.65.126.234
"1687812895.643202614","701035",188.65.126.234
"1687812895.643204989","702383",188.65.126.234
"1687812895.643209250","703731",188.65.126.234
"1687812895.643211625","705079",188.65.126.234
"1687812895.643219657","707775",188.65.126.234
"1687812895.643223010","709123",188.65.126.234
"1687812895.644979913","710471",188.65.126.234
"1687812895.644986060","711819",188.65.126.234
"1687812895.644989483","713167",188.65.126.234
"1687812895.645004291","714515",188.65.126.234
"1687812895.645011346","717211",188.65.126.234
"1687812895.645014210","718559",188.65.126.234
"1687812895.645018541","719907",188.65.126.234
"1687812895.645020986","721255",188.65.126.234
"1687812895.645023849","722603",188.65.126.234
"1687812895.645027202","723951",188.65.126.234
"1687812895.645031952","725299",188.65.126.234
"1687812895.645044735","726647",188.65.126.234
"1687812895.645048088","727995",188.65.126.234
"1687812895.645051930","729343",188.65.126.234
"1687812895.645054864","732039",188.65.126.234
"1687812895.645057797","733387",188.65.126.234
"1687812895.645060102","734735",188.65.126.234
"1687812895.645062966","736083",188.65.126.234
"1687812895.645066249","737431",188.65.126.234
